Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,877.0144235,927.8575479,925.4416162,1023.05163,1077.761907,1228.704135,1272.573204,1519.692548,1710.575645,1699.487997,1914.774351,2015.514962,2069.424642,2087.305323,2128.988026,2202.570851,2241.923246,2293.551684,1
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2548.875438,1908.666551,1822.880298,2056.9674,2289.3364,2665.140064,2979.367775,2716.725188,3021.007273,3471.654864,3862.27205,4301.364166,4661.367207,4994.585474,5422.802952,5865.324803,6558.638934,7275.804301,8228.336609,8821.512664,9635.183332,10207.76944,10526.29502,10570.97718,11259.24621,11661.97687,12002.9319,13037.01002,13833.9816,14495.07851,1
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6916.718865,6893.121808,7010.394905,6871.418624,6812.439525,7083.012459,7377.936674,7466.139345,7817.021883,8068.555519,8446.859524,8775.399134,9294.135581,10019.67993,10591.37471,11406.00704,11776.41993,12311.4348,12643.55561,12722.78719,13095.86782,13500.47566,13303.4155,13056.78872,13003.19323,12015.64908,11624.31583,11550.55546,11750.37917,11820.08768,1
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3267.067004,3299.500756,3075.122933,2316.543643,2321.581288,2639.510275,2955.356381,3122.898809,3201.146301,3212.121577,3275.128628,3374.481997,3768.716445,3822.127628,4207.120526,4816.706304,5338.740473,6024.339584,6578.60518,6442.579618,6587.986901,6710.750346,7412.965263,7682.477158,8179.296007,7337.569559,7103.225938,7310.901738,7097.118768,6929.678158,1
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11595.09015,12085.9845,12290.47004,12982.98807,13845.13892,13230.59946,14055.08574,14757.70638,15305.45061,15789.46794,16918.59609,16178.60205,16373.16,17463.35539,18717.72024,20253.77387,23170.31627,25586.80717,25657.99856,22369.99356,20611.91407,20347.18454,19597.59032,18796.39395,19039.0045,18912.31748,19918.79063,19840.07612,21614.06606,22816.4522,1
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7195.691444,8005.465558,8719.101682,9532.888696,10175.12512,9969.600598,10586.11057,11507.89833,11949.41602,11581.89051,11618.79607,11226.87734,10052.48666,11025.18552,12214.74008,13568.76676,14951.72819,16570.01117,17404.06871,16334.74001,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23562.91883,23282.63704,22947.1398,1
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2773.937657,2555.995824,1549.084965,1480.515155,1632.342879,1818.286948,1990.577896,2115.611643,2313.620772,2439.911173,2658.349518,2995.907863,3463.98378,4043.663101,4614.862114,5455.422185,6411.806636,7551.635907,8300.483424,7233.044937,7506.308865,8025.452905,9364.407767,9835.833011,10036.88984,9969.685301,10704.23341,12115.05701,13014.99203,14219.62771,1
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23309.02052,25020.50717,25661.319,26529.23395,27714.71661,27707.43423,27562.45967,29222.89491,29509.87661,29718.16982,32031.55543,31062.34929,29847.92835,30355.73238,33053.24653,34050.47157,35167.16636,36621.03511,37249.45046,33552.88982,32624.20909,34326.14482,33569.1865,36477.77939,36444.26206,36765.11607,37359.37344,38442.41384,1,1,1
