Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,14350000,32730000,16080000,34470000,39890000,36900000,16030000,6710000,9980000,4940000,6210000,6320000,22890000,14040000,23150000,21740000,14630000,20060000,27630000,38910000,6120000,-1440000,2330000,7540000,2360000,4700000,5590000,27580000,36790000,95610000,81680000,428420000,105110000,125660000,173660000,166440000,126240000,200370000,137370000,116370000,120420000,394850000,1037270000,1126570000,1683040000,1660610000,2014760000,4327230000,4025750000,5103830000,5426350000,5873520000,5720170000,4332480000,4339970000,3850440000,3643530000,3400660000,3322180000,0,0
Albania,ALB,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,1880000,328150000,353660000,189610000,68450000,77070000,113670000,77750000,127440000,280640000,161500000,137320000,106090000,112470000,111310000,150230000,150360000,147830000,193080000,172980000,161950000,166440000,148470000,144240000,168370000,113400000,137340000,130080000,181000000,0,0
Algeria,DZA,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,334700000,400900000,353310000,248660000,203020000,134910000,78050000,65510000,76130000,63120000,55620000,42080000,35960000,48770000,53110000,83400000,21060000,23350000,70500000,20720000,100630000,36670000,21570000,17690000,17100000,40580000,54800000,84480000,55800000,68460000,45310000,73200000,74280000,98820000,72740000,73450000,90000000,33860000,107500000,48290000,61180000,42560000,93340000,72570000,101410000,125320000,149690000,162300000,142270000,118650000,74560000,217380000,81960000,99280000,80490000,66860000,70030000,110130000,79510000,0,0
American Samoa,ASM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,AND,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,AGO,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,1870000,0,10000,0,0,0,0,0,20000,20000,10000,30000,80000,280000,4560000,11920000,12990000,34900000,29210000,32020000,37560000,31780000,33050000,53640000,44330000,57460000,65370000,97200000,103470000,192090000,188780000,185730000,169810000,300660000,327800000,275510000,242020000,216040000,261120000,206040000,213430000,335560000,412470000,364870000,303260000,294650000,314280000,279980000,173630000,201610000,168930000,177070000,186800000,166820000,139770000,167730000,174260000,138850000,0,0
Antigua and Barbuda,ATG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2320000,900000,1040000,1260000,1580000,2470000,1940000,5860000,2070000,990000,1340000,500000,1070000,2350000,5740000,2970000,2880000,4690000,2330000,4800000,2080000,1110000,640000,270000,8100000,7300000,3260000,4060000,8980000,2500000,2230000,7670000,3520000,5340000,4100000,1540000,19420000,15150000,1120000,2090000,2670000,2250000,6900000,10120000,3110000,0,0
Argentina,ARG,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1060000,1020000,2020000,5480000,4990000,7360000,2780000,3060000,15510000,-910000,-2930000,40000,50000,150000,20000,0,130000,770000,1780000,-1450000,1950000,610000,1580000,2220000,5290000,5610000,3120000,4940000,20530000,53550000,20190000,40040000,29720000,32650000,16850000,36680000,27730000,37030000,33930000,31330000,38190000,33170000,60600000,41550000,32890000,25230000,42980000,61550000,65650000,56180000,36520000,68830000,40230000,33880000,31190000,32150000,35170000,30140000,30280000,0,0
Armenia,ARM,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710000,18690000,96810000,171030000,90860000,56610000,34620000,53570000,47250000,61390000,43490000,72190000,55840000,65620000,66100000,58260000,128710000,133720000,136280000,159090000,240400000,133290000,128170000,116140000,150110000,172600000,92130000,111860000,0,0
Aruba,ABW,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9940000,9800000,7340000,15310000,13890000,25100000,28920000,25310000,20900000,28900000,27760000,32080000,18140000,40000,19950000,5370000,16860000,87220000,190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
