Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,1,1.898475653,1.965750511,2.029893385,2.090247673,2.147566577,2.171008785,2.188107747,2.254572124,2.3847205,2.536599489,2.665192329,2.714522752,2.659115951,2.47943603,2.200780319,1.98142011,1.747838882,1.281616595,0.522259984,-0.407546009,-1.393544249,-2.219656411,-2.712947662,-2.695480494,-2.20436802,-1.706772001,-1.128040913,0.116016612,2.136354595,4.476896508,6.900156175,8.546120196,8.790888641,7.659777033,5.884256812,4.019468195,2.636538892,1.94731853,2.17043897,2.975052846,3.902805701,4.496719561,4.668361494,4.321539296,3.682731797,2.990478094,2.493842299,2.268277145,2.397020991,2.74657628,3.143125903,3.407586974,3.494589049,3.355581661,3.077083595,2.778317409,2.548346644,2.3847611,2.311817217,1
Albania,ALB,Population growth (annual %),SP.POP.GROW,1,3.120855371,3.056730503,2.953748762,2.880686426,2.754021238,2.63456388,2.630190345,2.84251071,2.896083388,2.550851178,2.422972017,2.494973107,2.362552224,2.297214176,2.30115381,2.208235255,2.213252179,2.075741895,1.98945702,2.047963861,2.002974306,2.113271783,2.120885334,2.103936618,2.055994609,1.933220811,1.997039956,1.886710529,2.687861989,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.633352274,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,-0.426007367,1
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1,2.487164805,2.469954258,2.490075487,2.55973106,2.658016629,2.763975303,2.845359165,2.884959274,2.872223556,2.827454745,2.776615895,2.743966224,2.734959018,2.757336353,2.80071884,2.838090297,2.867929863,2.911005748,2.969185724,3.030904725,3.087048009,3.121627112,3.123711958,3.087580168,3.022860941,2.946972192,2.866846022,2.775848954,2.675144743,2.566456571,2.460315893,2.350327326,2.221629372,2.070857751,1.909821478,1.753175796,1.615283298,1.500885768,1.416265671,1.358407806,1.30984253,1.275065543,1.275914635,1.317846191,1.389900523,1.471122982,1.551382583,1.636192663,1.722093224,1.805018696,1.883313834,1.951415209,2.002727839,2.033592452,2.045387243,2.051354584,2.044952503,2.00737383,1.933950191,1
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,1,2.352471898,3.110990342,3.608865304,3.653944181,3.516675837,3.282797797,3.16260516,2.892642691,2.710254707,2.441581722,2.244118241,2.06192872,1.84859687,1.690104289,1.528999744,1.335380457,1.246467667,1.387949568,1.82531924,2.484195291,3.180517378,3.690584705,4.046503308,4.12657058,4.061747247,3.968873287,3.866494811,3.681961101,3.437952867,3.116907008,2.786751478,2.456986479,2.227687349,2.085126215,2.025606994,1.955879508,1.845947584,1.705729376,1.558005089,1.337137112,1.157215338,0.996827279,0.715107952,0.29701746,-0.199592495,-0.766842612,-1.263296561,-1.507058742,-1.417146554,-1.071293125,-0.572257861,-0.165132053,0.082600112,0.139905318,0.037633397,-0.12729377,-0.217311352,-0.279065762,-0.276230801,1
Andorra,AND,Population growth (annual %),SP.POP.GROW,1,6.941532095,6.692697087,6.559521703,6.241510694,5.998799772,5.750877566,5.500705964,5.309819699,5.198286928,5.147542716,5.150129714,5.083933949,4.862724177,4.461191336,3.935750805,3.431724988,3.08012203,2.905117997,3.153933651,3.524382541,3.896261313,4.213952619,4.384243224,4.401653418,4.339443344,4.208397815,4.081769501,4.003001862,3.915665175,3.854362309,3.88967904,3.837471871,3.476100654,2.759621289,1.854202829,0.795573965,-0.051287233,-0.288007423,0.35483105,1.572165551,2.939992206,3.942573353,4.375449193,4.098923478,3.382416554,2.659984178,2.066338175,1.414647779,0.714097792,-0.016576679,-0.834745269,-1.588729602,-2.025792158,-1.95147048,-1.529058438,-0.919469738,-0.383673623,0.006493211,0.176453843,1
Angola,AGO,Population growth (annual %),SP.POP.GROW,1,1.393362766,1.383629325,1.256554783,0.97396171,0.617543973,0.184283276,-0.120652967,-0.044881753,0.546044668,1.489917047,2.521468087,3.381711085,3.898492612,3.98923282,3.81058451,3.573055855,3.432751989,3.354067837,3.374208831,3.454405933,3.523644107,3.552888506,3.567326642,3.564244036,3.547875982,3.53169623,3.514404774,3.482401589,3.434426879,3.378480754,3.324456291,3.280311952,3.246641936,3.226144493,3.21685908,3.21423426,3.217320072,3.228941421,3.249247377,3.277203555,3.301198182,3.329256674,3.37881111,3.453013829,3.537557154,3.619574559,3.68063537,3.710531322,3.703877683,3.671462401,3.634158626,3.597774308,3.551950467,3.497492744,3.438850684,3.37827278,3.322080998,3.276133875,3.242982603,1
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1,1.59443322,1.515699972,1.530111688,1.642463656,1.817153466,2.052123643,2.189000872,2.068560045,1.632449733,0.981789342,0.280081718,-0.348665619,-0.755972704,-0.836164847,-0.707503249,-0.492635471,-0.334067092,-0.198075672,-0.135497004,-0.140529999,-0.10512272,-0.033986357,0.012948546,-0.001618477,0,-0.051805085,-0.059933103,0.087457896,0.382941031,0.835104744,1.332876478,1.727228909,2.005472286,2.146253641,2.157965307,2.165119903,2.158291239,2.097670203,1.960873657,1.781187179,1.561104092,1.392885863,1.275438464,1.297971065,1.395564086,1.50944883,1.585830631,1.618469661,1.567333688,1.467063743,1.382008785,1.286878642,1.217000042,1.136486988,1.078837937,1.021843835,0.946557003,0.89718512,0.860380481,1
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1,1.624707689,1.600145916,1.575288349,1.549267427,1.524331209,1.497709542,1.477575628,1.475762142,1.496600409,1.531523597,1.574602701,1.609488772,1.622670145,1.606660849,1.572169956,1.530440395,1.499164259,1.48785623,1.503689948,1.537002337,1.571959682,1.596423021,1.610528847,1.610383698,1.598562977,1.584808921,1.568954269,1.541822324,1.501773454,1.452983278,1.401439861,1.352181892,1.306059088,1.265318603,1.22923063,1.193611663,1.159485353,1.132262439,1.11335834,1.100583725,1.092079483,1.083551371,1.07199404,1.055389384,1.036281168,1.01544167,0.998858904,0.99259313,0.999544734,0.752213052,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,1
Armenia,ARM,Population growth (annual %),SP.POP.GROW,1,3.531700015,3.444212371,3.33039188,3.193722641,3.044915149,2.884528457,2.734332819,2.616709115,2.540601209,2.491710699,2.450454878,2.397047758,2.323313169,2.222332312,2.105167418,1.985966837,1.878847074,1.785163028,1.7098499,1.647333671,1.547507214,1.437884934,1.39629188,1.440938552,1.520551942,1.674304637,1.74408746,1.515480648,0.90369594,0.04797414,-0.934580005,-1.797409529,-2.34244852,-2.390476071,-2.040336799,-1.53871861,-1.115081278,-0.781896829,-0.634591459,-0.631020799,-0.617751681,-0.549218141,-0.530280113,-0.571956874,-0.650321107,-0.773190355,-0.872160581,-0.856135016,-0.67381128,-0.373711867,-0.027147008,0.267013214,0.461966644,0.51012273,0.450500903,0.361431439,0.294612228,0.236306379,0.201539723,1
Aruba,ABW,Population growth (annual %),SP.POP.GROW,1,2.238143931,1.409621865,0.832452558,0.592649039,0.573468248,0.616990878,0.587373201,0.568529799,0.580642385,0.57221119,0.636272958,0.670693326,0.671204938,0.471968484,0.212897716,-0.117120177,-0.363781075,-0.436627544,-0.204858378,0.193211026,0.780690671,1.276347795,1.385740854,1.015708085,0.301918203,-0.607943306,-1.303070407,-1.226909428,-0.076979146,1.813641093,3.902018236,5.44027196,6.068410306,5.625997562,4.616674713,3.517889233,2.669576442,2.114385656,1.960557913,2.055026783,2.22593013,2.229056047,2.109354335,1.757352867,1.30203884,0.79954624,0.384052418,0.134267964,0.095654625,0.210708808,0.370125352,0.502430116,0.582349411,0.594397037,0.544892394,0.50761773,0.469944453,0.453575639,0.442121959,1
